V,108.4159,2.71675,104.42,SingleNote
V,96.74619,2.71675,104.42,SingleNote
V,92.43381,2.71675,104.42,SingleNote
V,85.94408,2.71675,104.42,TripleNote
V,82.09892,2.71675,104.42,SingleNote
V,79.94694,2.71675,104.42,SingleNote
C,76.13312,2.71675,104.42,DoubleNote
X,72.27657,2.71675,104.42,SingleNote
Z,67.46985,2.71675,104.42,SingleNote
Z,63.39362,2.71675,104.42,SingleNote
Z,58.57137,2.71675,104.42,SingleNote
Z,52.58609,2.71675,104.42,TripleNote
Z,48.53595,2.71675,104.42,SingleNote
Z,46.3424,2.71675,104.42,SingleNote
X,42.26477,2.71675,104.42,DoubleNote
C,38.21612,2.71675,104.42,SingleNote
Z,33.6161,2.71675,104.42,SingleNote
Z,29.56443,2.71675,104.42,SingleNote
Z,25.21935,2.71675,104.42,SingleNote
Z,18.51576,2.71675,104.42,TripleNote
Z,14.1829,2.71675,104.42,SingleNote
X,12.02164,2.71675,104.42,SingleNote
C,7.933498,2.71675,104.42,DoubleNote
X,4.342905,2.71675,104.42,SingleNote
Z,-0.198138,2.71675,104.42,SingleNote
Z,-4.271939,2.71675,104.42,SingleNote
Z,-8.347572,2.71675,104.42,SingleNote
Z,-14.87586,2.71675,104.42,TripleNote
Z,-18.6636,2.71675,104.42,SingleNote
X,-21.25315,5.620758,104.4238,SingleNote
R,-25.52726,6.5,104.4895,DoubleNote
X,-29.83057,7.301515,104.6372,SingleNote
V,-33.39829,7.5,104.42,SingleNote
V,-37.89737,7.9,104.42,SingleNote
V,-42.53564,7.9,104.42,SingleNote
V,-48.22121,7.01,104.42,TripleNote
V,-52.54387,2.71675,104.42,SingleNote
V,-54.94278,0.9,104.42,SingleNote
C,-59.0375,9.01,104.42,DoubleNote
X,-63.16295,2.71675,104.42,SingleNote
Z,-67.01927,2.71675,104.42,SingleNote
Z,-71.08677,2.71675,104.42,SingleNote
Z,-75.177,2.71675,104.42,SingleNote
Z,-81.63816,8.15675,104.42,TripleNote
Z,-85.67601,8.29675,104.42,SingleNote
Z,-87.98939,7.141135,104.42,SingleNote
X,-92.19076,7.140485,104.42,DoubleNote
C,-96.50541,7.140485,104.42,SingleNote
Z,-101.2404,6.580482,104.42,SingleNote
Z,-105.1258,4.623273,104.42,SingleNote
Z,-109.5081,3.063587,104.42,SingleNote
Z,-115.9412,2.71675,104.42,TripleNote
Z,-119.9815,2.71675,104.42,SingleNote
X,-122.1818,2.71675,104.42,SingleNote
C,-126.4841,2.71675,104.42,DoubleNote
X,-130.1344,2.71675,104.42,SingleNote
Z,-134.9409,2.71675,104.42,SingleNote
Z,-138.7425,2.71675,104.42,SingleNote
Z,-142.3294,2.71675,104.42,SingleNote
Z,-148.5456,7.99675,104.42,TripleNote
Z,-153.1155,8.15675,104.42,SingleNote
X,-155.0922,7.143738,104.42,SingleNote
C,-159.6432,7.140485,104.42,DoubleNote
X,-163.4618,7.140485,104.42,SingleNote
V,-168.4166,6.240481,104.42,SingleNote
V,-172.5623,4.603534,104.42,SingleNote
V,-176.6313,2.678107,104.42,SingleNote
V,-182.8747,2.71675,104.42,TripleNote
V,-187.2071,2.71675,104.42,SingleNote
V,-189.6474,2.71675,104.42,SingleNote
C,-193.4944,2.71675,104.42,DoubleNote
X,-197.5335,2.71675,104.42,SingleNote
Z,-201.5907,2.71675,104.42,SingleNote
Z,-205.4388,2.71675,104.42,SingleNote
Z,-209.5205,2.71675,104.42,SingleNote
Z,-217.0297,8.696751,104.42,TripleNote
Z,-220.5798,7.81675,104.42,SingleNote
Z,-223.014,7.140486,104.42,SingleNote
X,-227.5432,7.140485,104.42,DoubleNote
C,-231.3759,7.140485,104.42,SingleNote
Z,-235.7187,6.580482,104.42,SingleNote
Z,-239.582,4.623273,104.42,SingleNote
Z,-243.8796,2.803535,104.42,SingleNote
Z,-250.5975,2.71675,104.42,TripleNote
Z,-254.6314,2.71675,104.42,SingleNote
X,-257.1105,2.71675,104.42,SingleNote
C,-260.9135,2.71675,104.42,DoubleNote
X,-264.9251,2.71675,104.42,SingleNote
Z,-269.3308,2.71675,104.42,SingleNote
Z,-273.6318,2.71675,104.42,SingleNote
Z,-277.4384,2.71675,104.42,SingleNote
Z,-283.9046,2.71675,104.42,TripleNote
Z,-288.2257,2.71675,104.42,SingleNote
X,-290.9121,5.65675,104.42,SingleNote
C,-294.7545,8.51675,104.42,SingleNote
X,-298.5407,8.15675,104.42,SingleNote
